电影名称,评论者,评分等级,评论日期,点赞数,评论内容
盗梦空间,桃桃林林,推荐, 2010-09-01 22:04:56 ,18881,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年
盗梦空间,亚比煞,推荐, 2010-09-12 06:12:53 ,6274,你永远记不起一个梦的开端，就像记不起我们如何来到这个世界上。
盗梦空间,苇间疯,推荐, 2010-09-04 12:18:23 ,4647,确实挺好看。人人都在评论这片，我也评不出个鸟来了。因为《盗梦空间》这片，中国人民已经陷入了智商无限的癫狂幻想之中。人人都觉得自己的解释最牛逼，人人都觉得自己是哲学家，是心理学家，是数学家，是诺兰的知己。
盗梦空间,山风如月,力荐, 2010-09-01 10:06:31 ,51385,大概广电局也不知道该从哪里剪
盗梦空间,大宸,力荐, 2010-07-31 22:49:13 ,13527,卡梅隆负责革新电影技术，诺兰负责革新电影结构...
盗梦空间,楚仙,力荐, 2010-07-15 21:54:25 ,11394,一部电影好看到即使你明白它在故弄玄虚也是义无反顾的打五星。
盗梦空间,Molly Zheng,推荐, 2010-08-01 11:47:12 ,1942,你们终于知道我每天晚上做这种梦有多累了吧
盗梦空间,longer,推荐, 2010-07-12 17:27:06 ,614,概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……
盗梦空间,朝暮雪,力荐, 2012-08-07 15:42:42 ,7809,所有的梦境中柯布中都戴着戒指，所有的现实中柯布都没戴戒指，所以陀螺只是障眼法，戒指才是真正的图腾。结尾柯布根本不在乎陀螺有没有停下来，因为他出机场的时候没戴戒指，他早就知道自己回到现实了。
盗梦空间,鼬,还行, 2010-09-01 14:52:13 ,1427,就那么一个创意，被大家吹得玄而又玄。片中充斥着毫无意义的枪战。看的过程中惟一的惊喜就是CCTV了。
盗梦空间,大头绿豆,推荐, 2010-09-11 18:15:42 ,205,庄周一句话就搞掂了，费那劲儿干啥
盗梦空间,颜饭yy,推荐, 2018-01-17 15:02:40 ,213,要想从梦境里醒过来需要重大撞击，但有时你无法分辨到底是不是在梦里，所以有了陀螺这个图腾。然而你又怎么确定你现在经历的现实不会是一个梦境？梦醒的条件大概就是离开这个世界吧。梦、梦中梦、梦与现实错综复杂，即使烧脑多看几次也会看懂的电影，值得一看。
盗梦空间,陈允然,力荐, 2010-07-17 13:34:58 ,7290,我的陀螺停不下来了。
盗梦空间,影志,力荐, 2010-08-26 17:31:32 ,6113,“既然做梦，就做大点” 这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。” Do you remember how you got here?
盗梦空间,seren,力荐, 2010-07-16 20:48:58 ,5116,一直在牛逼，从未被超越。只有Nolan才能达到这种境界！！！
盗梦空间,命中注定的爱,推荐, 2018-02-09 22:31:10 ,96,设置了很多悬疑，每次重新看都有新的发现，是一部经典的电影！
盗梦空间,kingkongofkhan,力荐, 2010-08-01 08:27:29 ,2904,前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。
盗梦空间,Villalon,力荐, 2010-07-16 21:45:08 ,2542,我还能说什么呢 出影院第一件事就是拿iphone 上豆瓣 至少5颗星啊 第156个评分的 哈哈哈哈 一直要用心用脑看的电影 内容很严谨 逻辑性强 非常好看 等高人仔细分析。。 又去影院 看了一遍 很爽 很抖擞
盗梦空间,熊想躺平,力荐, 2010-07-17 16:53:52 ,1900,列奥纳多干完这票肯定是要去Shutter Island修养一阵了。
盗梦空间,TORO VAN DARKO,力荐, 2010-07-17 05:37:42 ,1762,《奠基》是一部复杂精致并绝对精彩好看的电影，他让你在片尾字幕出现时完全反应不过来之前的两个半小时发生了什么，就像一场梦境一样让你匪夷所思却又流连忘返。
盗梦空间,flowerowl,力荐, 2010-07-17 14:44:06 ,1837,Christopher Nolan是天才!
盗梦空间,熬夜季军,推荐, 2018-02-01 15:51:10 ,124,看的时候绝不能分神 不然马上就看不懂剧情了
盗梦空间,漩式焰,还行, 2010-09-02 02:59:45 ,547,今敏大人啊~~您的点子被电影化，感觉好像科教片……
盗梦空间,易老邪,较差, 2010-10-31 13:20:29 ,124,"很是失望。本片创意构思和特效场面都还远不够震撼，叙事上有点弄巧成拙，故事发展全部依赖大段大段的对白，不痛不痒矫揉造作的情感戏形同鸡肋，再加上迪卡极为拙劣的演技，使此片不可避免地成为一部平庸之作。
剧情谈不上有多复杂艰深，想象力也远不及《黑客帝国》《移魂都市》等佳作"
盗梦空间,法海爷爷,力荐, 2010-06-25 10:04:15 ,1743,诺兰+莱昂纳多的电影，我无话可说！
盗梦空间,TheSingingSea,力荐, 2010-07-19 05:14:35 ,1537,永远别用回忆来建构你的梦境
盗梦空间,艾小柯,力荐, 2010-07-19 07:31:52 ,880,迷离失所，戏假情真！
盗梦空间,阿喵,力荐, 2010-09-01 02:43:26 ,519,有人说诺兰克死了金敏……
盗梦空间,张小北,力荐, 2010-08-26 22:26:56 ,523,诺兰后期的几部电影都犹如教科书般精确和经典。本片尤其如此，在所有的电影元素上都极其精准……故事层面也做到了商业和艺术的完美平衡。是我个人2010年的年度电影。
盗梦空间,七沐妹妹,推荐, 2018-02-02 20:17:17 ,164,重温了盗梦空间，的确没必要拿它跟红辣椒比。多年以后，还是很喜欢的。诺兰把梦境感做的很足，跌落的瞬间也很令人信服，电影真的植入了怀疑真实的一颗种子，此时的我分不清梦境与现实。
盗梦空间,蓝下老婆,推荐, 2017-02-16 17:42:38 ,48,这部片试图从头看了好几遍，但都没有看到最后，我智商不够啊，烧脑
盗梦空间,布·迪安,还行, 2010-09-02 09:26:26 ,360,没感觉多好看，你们接着炒吧
盗梦空间,巽,较差, 2012-02-11 01:10:47 ,24,真的是，从蝙蝠侠开始，他的电影每一个点都跟我不在一个空间，每一个脑电波都不在一个波长。还老拍得那么长，每次看丫电影我不是睡着就是呕半天气⋯⋯
盗梦空间,古尔齐亚,还行, 2010-08-30 23:04:42 ,228,这故事也忒烂了
盗梦空间,uqinzen乌青,推荐, 2010-09-03 12:03:18 ,80,很多人说看完电影会怀疑现实，我说，在梦里他们不用上厕所，而看完电影大家第一件事情就是去洗手间。这是区别现实和梦境最简单的方法。
盗梦空间,乱樂,推荐, 2018-01-16 11:27:03 ,143,电影比较烧脑，梦中梦，梦里有梦，不细看真不知道主角进入到第几层梦境
盗梦空间,一蓑烟雨任平生,还行, 2010-09-02 16:07:09 ,198,能让人叫好的谜语一定是比较好猜的那种。只有这样受众才会产生对自己智力的陶醉。就是一个基于真实和虚幻的循环结构设定加点动作片元素而已，没有其他任何东西了。一部没有什么意思的娱乐片。
